Typ;Konjunkturzyklus;Beschreibung;Weitere Ereignisse;Zeitsteine;"Lebenshaltungs
kosten";"Bildung &
Karriere";"Freizeit &
Sozial";Kreditzins;Aktien (Kursbonus);Dividende;Immobilienkauf und -verkauf;Crypto (Kursbonus);Bonuseinkommen;Bildung & Karriere (für 2 Spieler jede Kategorie -1);Freizeit & Sozial (für 2 Spieler jede Kategorie -1);Investitionen (für 2 Spieler jede Kategorie -1);Erwerbseinkommen (für 2 Spieler jede Kategorie -1);Zeitsteine 2 Spieler;Zeitsteine 3 Spieler;Zeitsteine 4 Spieler
Aufschwung;Erste Erholung;Nachdem eine globale Krise die internationalen Lieferketten stark gestört hatte, ist der Konsum jedoch noch verhalten, da Haushalte und Unternehmen vorsichtig agieren. Unternehmen beginnen, ihre Lager aufzufüllen und Neueinstellungen zu tätigen. Die Zentralbank hält den Leitzins daher mit 1 % niedrig, um günstige Kredite zu ermöglichen und Investitionen sowie Konsumausgaben zu begünstigen. Dadurch bleiben Kredite günstig und die Unternehmen sowie Haushalte können leichter investieren und konsumieren.;;+1 Zeitstein für alle;100 %;100 %;100 %;4,00 %;0 %;1,40 €;0 %;4 %;0 %;6;5;5;4;12;15;20
Aufschwung;Stabile Expansion;Ein staatliches Infrastrukturpaket sorgt für  wirtschaftlichen Schwung. Straßen, Bahnlinien und digitale Netze werden ausgebaut und es entstehen neue Jobs. Die Konjunktur festigt sich zunehmend und die Zentralbank reagiert vorsichtig. Sie erhöht den Leitzins auf 1,5 %, um zukünftigen Inflationsrisiken vorzubeugen. Kredite bleiben jedoch weiterhin attraktiv, sodass der Aufschwung nachhaltig unterstützt wird.;"Infrastrukturprogramm: Immobilienkauf und
-verkauf +10 %";;100 %;100 %;100 %;4,50 %;5 %;1,50 €;10 %;6 %;0 %;5;3;4;4;10;12;16
Aufschwung;Kräftiges Wachstum;Neue technologische Innovationen führen zu deutlich höherer Produktivität und neuen Wachstumsimpulsen. Unternehmen investieren in Zukunftstechnologien und schaffen viele Arbeitsplätze. Weil die Wirtschaft nun robust wächst, hebt die Zentralbank den Leitzins auf 2 % an, um das Wachstum  zu begleiten und einer möglichen Überhitzung entgegenzuwirken. Kredite bleiben moderat teuer, trotz steigender Zinsen investieren jedoch Unternehmen weiter, da die Renditeerwartungen bei Investitionen in Zukunftstechnologien hoch sind.;Einmalige Gehaltssonderzahlung i.H.v. 1000 €;;105 %;105 %;105 %;5,00 %;0 %;1,50 €;0 %;9 %;5 %;5;3;4;4;10;12;16
Aufschwung;Späte Phase;Die Nachfrage nach Exportprodukten ist hoch, aber Fachkräfte und Rohstoffe werden zunehmend knapp. Unternehmen stoßen an ihre Kapazitätsgrenzen, was steigende Löhne und erste Inflationssignale zur Folge hat. Die Zentralbank greift nun entschiedener ein und hebt den Leitzins auf 2,5 % an, um die Wirtschaft sanft auszubremsen und eine Überhitzung zu verhindern. Dies führt zu höheren Kreditkosten, was die Investitionen erstmals etwas erschwert.;Einmalig 500 € für steigende Lebensmittelpreise;-1 Zeitstein für alle;105 %;105 %;105 %;5,50 %;5 %;1,60 €;0 %;12 %;0 %;4;3;3;3;8;9;12
Boom;Frühe Expansion;Niedrige Zinssätze der letzten Jahre führen dazu, dass Unternehmen und Verbraucher weiterhin großzügig investieren und konsumieren. Die Wirtschaft wächst stabil, die Stimmung bleibt optimistisch, und Arbeitsplätze sind sicher. Die Zentralbank erkennt die gute Lage und stabilisiert den Leitzins bei 2 %, sodass der Kreditzins weiterhin attraktiv bleibt.;;+1 Zeitstein für alle;100 %;100 %;100 %;5,00 %;5 %;1,60 €;0 %;13 %;0 %;5;4;5;4;12;15;20
Boom;Mittlere Expansion;Ein globaler Handelsboom sorgt für Rekordgewinne in Unternehmen und spürbar steigende Löhne. Die Kaufkraft der Haushalte wächst stark und viele Märkte expandieren. Da die Wirtschaft nun auf Hochtouren läuft und Inflationsrisiken steigen, hebt die Zentralbank den Leitzins auf 3 % an. Die höheren Kreditkosten bremsen Investitionen bisher jedoch kaum, da die Gewinne weiterhin hoch sind.;Einmalige Lohnsonderzahlung i.H.v. 10 % des Einkommens.;;105 %;105 %;105 %;6,00 %;0 %;1,80 €;0 %;18 %;10 %;5;3;4;4;10;12;16
Boom;Überhitzung;Eine globale Rohstoffknappheit treibt die Preise weltweit in die Höhe. Unternehmen haben Mühe, die steigenden Kosten weiterzugeben und erste Anzeichen einer Blasenbildung sind sichtbar. Spekulationen haben dazu geführt, dass Immobilienpreise zunehmend den Bezug zu den  wirtschaftlichen Kennzahlen verloren haben und eine Immobilienblase ist entstanden. Die Zentralbank reagiert mit einer deutlichen Anhebung des Leitzinses auf 4  %, um die Inflation zu bekämpfen. Die merklich gestiegenen Kreditkosten führen bereits zu ersten negativen Auswirkungen auf neue Investitionen.;Immobilienblase, für jede Immobilie fallen Steuern i.H.v. 1000 € pro Objekt an;-1 Zeitstein für alle;110 %;110 %;110 %;7,00 %;0 %;1,80 €;0 %;23 %;0 %;5;2;4;4;8;9;12
Boom;Asset-Blasé;Langjährig niedrige Zinsen haben spekulative Investitionen in Aktien, Immobilien und Kryptowährungen massiv ansteigen lassen. Die Preise sind stark überbewertet und weit von ihren fundamentalen Werten entfernt. Die Zentralbank zieht nun deutlich die geldpolitische Bremse und hebt den Leitzins auf 5  % an, was Kredite deutlich teurer macht. Experten warnen, dass die Wirtschaft sich am Rand einer Korrektur befindet und eine Rezession droht, falls ein unerwarteter Schock eintritt.;"Immobilienkauf und
-verkauf +10 %

Einmalige Grundsteuer pro Immobilien i.H.v. 1000 € pro Objekt

50 % Chance, das Rezession folgt";;115 %;115 %;115 %;8,00 %;10 %;2,10 €;10 %;28 %;0 %;5;2;6;5;10;12;16
Rezession;Sanfte Abkühlung;Die Wirtschaft verliert leicht an Schwung, da internationale Handelskonflikte und leichte Nachfragerückgänge erste Spuren hinterlassen. Unternehmen investieren vorsichtiger und verschieben größere Projekte. Die Zentralbank erkennt die schwache Entwicklung und senkt den Leitzins auf moderate 1  %, wodurch Kredite günstig bleiben und ein stärkerer Abschwung verhindert werden soll. Der Staat reagiert mit einem Bildungsgutschein, um die Qualifikation der Arbeitnehmer zu verbessern.;Bildungs-Bonus: 1 Bildungs- & Karrierepunkt;;100 %;100 %;100 %;4,00 %;0 %;1,40 €;0 %;-6 %;0 %;4;6;3;3;10;12;16
Rezession;Nachfragerückgang;Ein stärkerer Rückgang der Nachfrage belastet zunehmend die Wirtschaft. Immer mehr Unternehmen müssen Kurzarbeit anmelden, wodurch Arbeitszeit und Einkommen sinken. Die Zentralbank hält den Leitzins stabil niedrig bei 1  %, um weitere Schäden zu verhindern, doch die erhoffte Belebung bleibt vorerst aus. Die Unternehmen setzen aufgrund der schwierigen Lage Lohnsonderzahlungen aus, wodurch private Konsumausgaben zusätzlich belastet werden.;"Kurzarbeit, -1 Zeitstein wenn Erwerbseinkommen

Einkommen -5 % diese Runde";-1 Zeitstein, wenn Erwerbseinkommen vorhanden;100 %;100 %;100 %;4,00 %;-5 %;1,30 €;0 %;-11 %;-5 %;3;6;3;2;8;9;12
Rezession;Nachfrageschwäche;Aufgrund eines anhaltenden Abschwungs bleibt die Stimmung in der Wirtschaft gedrückt. Unternehmen zeigen sich  vorsichtig bei Neueinstellungen und Investitionen. Um die anhaltende Nachfrageschwäche abzumildern, senkt die Zentralbank den Leitzins auf 0,75  %, was zu historisch niedrigen Kreditkosten führt. Zusätzlich versucht die Regierung, die Konsumenten mit einem einmaligen Konjunkturbonus von 500  € pro Person zu unterstützen. Dafür trifft Immobilienbesitzer eine zusätzliche Grundsteuer.;"Konjunkturbonus i.H.v. 500 €
Grundsteuer pro Immobilie i.H.v. 500 €";;100 %;100 %;100 %;3,75 %;0 %;1,20 €;0 %;-14 %;0 %;4;6;3;3;10;12;16
Rezession;Kreditklemme;Banken werden aufgrund von Kreditausfällen zunehmend zurückhaltender werden. Unternehmen haben Schwierigkeiten, an frisches Geld zu kommen, wodurch viele Projekte vorerst gestoppt werden. Trotz einer  Zinssenkung der Zentralbank auf 0,5  %, bleibt der Kreditmarkt angespannt. Darlehensnehmer spüren zusätzlich die Krise durch eine einmalige Extra-Zinszahlung, während Immobilienwerte unter Druck geraten.;"Einmaliger Extrazins für alle mit Darlehen i.H.v. 200 €

Immobilienkauf und -verkauf -5 %";-1 Zeitstein für alle;95 %;100 %;100 %;3,50 %;-10 %;1,10 €;-5 %;-19 %;0 %;3;5;3;2;8;9;12
Depression;Einsetzen der Deflation;Die Wirtschaftskrise verschärft sich deutlich. Unternehmen finden kaum noch Abnehmer für ihre Produkte und Geschäfte reduzieren zunehmend ihre Preise, um damit Käufer anzulocken. Da immer weniger Menschen ihr Geld ausgeben, sinken die Preise weiter und es droht eine gefährliche Spirale. Die Zentralbank senkt die Zinsen nahezu auf null, doch die Zinssenkung zeigt kaum Wirkung. Die Verunsicherung am Markt lässt Immobilienpreise sinken.;"Immobilienkauf und
-verkauf -10 %";-1 Zeitstein für alle;95 %;95 %;95 %;3,25 %;-15 %;0,95 €;-10 %;-22 %;0 %;3;6;3;4;8;9;12
Depression;Bankenzusammenbruch;Es eskaliert eine Krise, als mehrere große Banken plötzlich kurz vor der Insolvenz stehen. Um das gesamte Finanzsystem vor dem Kollaps zu retten, stellt die Regierung die Banken unter Schutz und lässt Kredite vorübergehend einfrieren. Daraus resultiert eine Panik an den Märkten und Immobilienpreise und Aktienkurse brechen ein. Dies geschieht trotz des radikalen Eingriffs der Zentralbank, die den Leitzins vollständig auf null senkt.;"Es können keine Kredite aufgenommen werden

Immobilienkauf und
-verkauf -15 %

Einkommen -10 % diese Runde";-1 Zeitstein für alle;90 %;90 %;90 %;3,00 %;0 %;0,90 €;-15 %;-28 %;-10 %;3;6;3;2;8;9;12
Depression;Stagnationstal;Die Wirtschaft scheint am tiefsten Punkt einer Krise angekommen zu sein. Unternehmen zögern mit Investitionen und die Menschen sparen, statt ihr Geld auszugeben. Trotz massiver geldpolitischer Maßnahmen der Zentralbank und der Senkung des Leitzins auf 0 % bleibt die Stimmung gedrückt. Um die Nachfrage kurzfristig anzukurbeln, verteilt der Staat eine einmalige finanzielle Unterstützung an alle Bürger.;Konjunkturbonus i.H.v. 500 € p.P.;;90 %;90 %;90 %;3,00 %;0 %;0,90 €;0 %;-25 %;0 %;4;7;3;2;10;12;16
Depression;Zäher Boden;Eine lange Krise hat tiefe Spuren hinterlassen. Viele Haushalte sind überschuldet und Unternehmen kämpfen weiterhin ums Überleben. Die Zentralbank hält den Leitzins auf null Prozent und sorgt dafür, dass Kredite billig bleiben. Politik und Banken einigen sich auf einen Schuldenerlass, um die finanziellen Belastungen zu mildern. Infolge dieser Maßnahmen kehrt allmählich Vertrauen in die Wirtschaft zurück und zuvor fallende Kurse beginnen sich zu stabilisieren.;"Einmalig für offene Darlehen -1000 €

Immobilienkauf und -verkauf -5 %";;90 %;90 %;90 %;3,00 %;-5 %;0,90 €;-5 %;-20 %;0 %;4;7;3;2;10;12;16
