Beschreibungen;;;;Zeitsteine;;;Kompetenzsteine;;;;;;ModifierKosten;;;;Zusätzliche Modifier;;;;Auswirkungen;;;;;conditionalResourceChanges;;;;;;;
id;type;title;description;sumZeitsteine2Spieler;sumZeitsteine3Spieler;sumZeitsteine4Spieler;maxBildungUndKarriere;maxFreizeitUndSoziales;maxInvestitionen;maxJobs;Summe Kategoriesteine 3/4 Spieler;Summe Kategoriesteine 2 Spieler;GEHALT;BildungKarriereKosten;FreizeitSozialesKosten;Lebenshaltungskosten;modifierId1;modifierValue1;modifierId2;modifierValue2;Kreditzins;Aktien Kursbonus;Crypto Kursbonus;Dividende;Immobilien;description1;prerequisite1;resourceChange1;value1;description2;prerequisite2;resourceChange2;value2
1;AUFSCHWUNG;Aufschwung I – Erste Erholung;Nachdem eine globale Krise die internationalen Lieferketten stark gestört hatte, ist der Konsum jedoch noch verhalten, da Haushalte und Unternehmen vorsichtig agieren. Unternehmen beginnen, ihre Lager aufzufüllen und Neueinstellungen zu tätigen. Die Zentralbank hält den Leitzins daher mit 1 % niedrig, um günstige Kredite zu ermöglichen und Investitionen sowie Konsumausgaben zu begünstigen. Dadurch bleiben Kredite günstig und die Unternehmen sowie Haushalte können leichter investieren und konsumieren.;12;15;20;6;5;5;4;20;16;100;100;100;100;;;;;4;0;4;1.4;0;;;;;;;;
2;AUFSCHWUNG;Aufschwung II – Stabile Expansion;Ein staatliches Infrastrukturpaket sorgt für  wirtschaftlichen Schwung. Straßen, Bahnlinien und digitale Netze werden ausgebaut und es entstehen neue Jobs. Die Konjunktur festigt sich zunehmend und die Zentralbank reagiert vorsichtig. Sie erhöht den Leitzins auf 1,5 %, um zukünftigen Inflationsrisiken vorzubeugen. Kredite bleiben jedoch weiterhin attraktiv, sodass der Aufschwung nachhaltig unterstützt wird.;10;12;16;5;3;4;4;16;12;100;100;100;100;;;;;5;5;6;1.5;10;;;;;;;;
3;AUFSCHWUNG;Aufschwung III – Kräftiges Wachstum;Neue technologische Innovationen führen zu deutlich höherer Produktivität und neuen Wachstumsimpulsen. Unternehmen investieren in Zukunftstechnologien und schaffen viele Arbeitsplätze. Weil die Wirtschaft nun robust wächst, hebt die Zentralbank den Leitzins auf 2 % an, um das Wachstum  zu begleiten und einer möglichen Überhitzung entgegenzuwirken. Kredite bleiben moderat teuer, trotz steigender Zinsen investieren jedoch Unternehmen weiter, da die Renditeerwartungen bei Investitionen in Zukunftstechnologien hoch sind.;10;12;16;5;3;4;4;16;12;105;105;105;105;;;;;5;0;9;1.5;0;Einmalige Gehaltssonderzahlung i.H.v. 1000 €;HAS_JOB;guthabenChange;1000;;;;
4;AUFSCHWUNG;Aufschwung IV – Späte Phase;Die Nachfrage nach Exportprodukten ist hoch, aber Fachkräfte und Rohstoffe werden zunehmend knapp. Unternehmen stoßen an ihre Kapazitätsgrenzen, was steigende Löhne und erste Inflationssignale zur Folge hat. Die Zentralbank greift nun entschiedener ein und hebt den Leitzins auf 2,5 % an, um die Wirtschaft sanft auszubremsen und eine Überhitzung zu verhindern. Dies führt zu höheren Kreditkosten, was die Investitionen erstmals etwas erschwert.;8;9;12;4;3;3;3;13;9;100;105;105;105;;;;;6;5;12;1.6;0;Einmalig 500 € für steigende Lebensmittelpreise;;guthabenChange;500;;;;
5;BOOM;Boom I - Frühe Expansion;Niedrige Zinssätze der letzten Jahre führen dazu, dass Unternehmen und Verbraucher weiterhin großzügig investieren und konsumieren. Die Wirtschaft wächst stabil, die Stimmung bleibt optimistisch, und Arbeitsplätze sind sicher. Die Zentralbank erkennt die gute Lage und stabilisiert den Leitzins bei 2 %, sodass der Kreditzins weiterhin attraktiv bleibt.;12;15;20;5;4;5;4;18;14;100;100;100;100;;;;;5;5;13;1.6;0;;;;;;;;
6;BOOM;Boom II - Mittlere Expansion;Ein globaler Handelsboom sorgt für Rekordgewinne in Unternehmen und spürbar steigende Löhne. Die Kaufkraft der Haushalte wächst stark und viele Märkte expandieren. Da die Wirtschaft nun auf Hochtouren läuft und Inflationsrisiken steigen, hebt die Zentralbank den Leitzins auf 3 % an. Die höheren Kreditkosten bremsen Investitionen bisher jedoch kaum, da die Gewinne weiterhin hoch sind.;10;12;16;5;3;4;4;16;12;110;105;105;105;;;;;6;0;18;1.8;0;Einmalige Lohnsonderzahlung i.H.v. 10 % des Einkommens.;HAS_JOB;Lohnsonderzahlung;10;;;;
7;BOOM;Boom III - Überhitzung;Eine globale Rohstoffknappheit treibt die Preise weltweit in die Höhe. Unternehmen haben Mühe, die steigenden Kosten weiterzugeben und erste Anzeichen einer Blasenbildung sind sichtbar. Spekulationen haben dazu geführt, dass Immobilienpreise zunehmend den Bezug zu den  wirtschaftlichen Kennzahlen verloren haben und eine Immobilienblase ist entstanden. Die Zentralbank reagiert mit einer deutlichen Anhebung des Leitzinses auf 4  %, um die Inflation zu bekämpfen. Die merklich gestiegenen Kreditkosten führen bereits zu ersten negativen Auswirkungen auf neue Investitionen.;8;9;12;5;2;4;4;15;11;100;110;110;110;;;;;7;0;23;1.8;0;Immobilienblase: für jede Immobilie fallen Steuern i.H.v. 1000 € pro Objekt an;;Grundsteuer;-1000;;;;
8;BOOM;Boom IV - Asset-Blasé;Langjährig niedrige Zinsen haben spekulative Investitionen in Aktien, Immobilien und Kryptowährungen massiv ansteigen lassen. Die Preise sind stark überbewertet und weit von ihren fundamentalen Werten entfernt. Die Zentralbank zieht nun deutlich die geldpolitische Bremse und hebt den Leitzins auf 5  % an, was Kredite deutlich teurer macht. Experten warnen, dass die Wirtschaft sich am Rand einer Korrektur befindet und eine Rezession droht, falls ein unerwarteter Schock eintritt.;10;12;16;5;2;6;5;18;14;100;115;115;115;INCREASED_CHANCE_FOR_REZESSION;;;;8;10;28;2.1;10;Einmalige Grundsteuer pro Immobilien i.H.v. 1000 € pro Objekt;;Grundsteuer;-1000;;;;
9;REZESSION;Rezession I – Sanfte Abkühlung;Die Wirtschaft verliert leicht an Schwung, da internationale Handelskonflikte und leichte Nachfragerückgänge erste Spuren hinterlassen. Unternehmen investieren vorsichtiger und verschieben größere Projekte. Die Zentralbank erkennt die schwache Entwicklung und senkt den Leitzins auf moderate 1  %, wodurch Kredite günstig bleiben und ein stärkerer Abschwung verhindert werden soll. Der Staat reagiert mit einem Bildungsgutschein, um die Qualifikation der Arbeitnehmer zu verbessern.;10;12;16;4;6;3;3;16;12;100;100;100;100;;;;;4;0;-6;1.4;0;Bildungs-Bonus: 1 Bildungs- & Karrierepunkt ;;bildungKompetenzsteinChange;1;;;;
10;REZESSION;Rezession II – Nachfragerückgang;Ein stärkerer Rückgang der Nachfrage belastet zunehmend die Wirtschaft. Immer mehr Unternehmen müssen Kurzarbeit anmelden, wodurch Arbeitszeit und Einkommen sinken. Die Zentralbank hält den Leitzins stabil niedrig bei 1  %, um weitere Schäden zu verhindern, doch die erhoffte Belebung bleibt vorerst aus. Die Unternehmen setzen aufgrund der schwierigen Lage Lohnsonderzahlungen aus, wodurch private Konsumausgaben zusätzlich belastet werden.;8;9;12;3;6;3;2;14;10;95;100;100;100;;;;;4;-5;-11;1.3;0;minus 1 Zeitstein wenn Erwerbseinkommen;HAS_JOB;zeitsteineChange;-1;;;;
